,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_intercept,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
0,0.0007542610168457031,0.0001846801209657706,0.0005576133728027344,4.2298815700232864e-05,True,0.7196856730011519,"{'fit_intercept': True, 'C': 0.7196856730011519}",0.8,0.8928571428571428,0.9642857142857143,0.8571428571428571,0.9583333333333334,0.8945238095238095,0.062085815820339334,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
1,0.0007539272308349609,0.00014873248851677252,0.000727701187133789,0.00012106250319058128,True,0.43939705607607904,"{'fit_intercept': True, 'C': 0.43939705607607904}",0.8,0.9285714285714286,0.9642857142857143,0.8214285714285714,0.9583333333333334,0.8945238095238095,0.06982160617847748,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
2,0.0009467601776123047,0.0004248428286925524,0.0006269931793212891,0.00016246559249275788,True,1.1787686347935873,"{'fit_intercept': True, 'C': 1.1787686347935873}",0.8,0.8928571428571428,0.9642857142857143,0.8214285714285714,0.9583333333333334,0.8873809523809524,0.06776978503855782,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
3,0.0007940292358398438,0.00012651844038446002,0.0007169246673583984,0.00011950646552358702,True,0.2682695795279726,"{'fit_intercept': True, 'C': 0.2682695795279726}",0.8,0.9285714285714286,0.9285714285714286,0.75,0.9583333333333334,0.8730952380952381,0.08236030569788172,4,0.9953703703703705,1.0,0.9909502262443439,0.995475113122172,0.9978213507625273,0.9959234120998828,0.0030152991478880945,Fermented
4,0.0011134624481201171,0.00022241079538639732,0.0005701541900634766,4.947483674222233e-05,True,1.9306977288832496,"{'fit_intercept': True, 'C': 1.9306977288832496}",0.7666666666666667,0.8571428571428572,0.9642857142857143,0.8214285714285714,0.9166666666666667,0.8652380952380954,0.06950749971770531,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
5,0.0007646560668945312,0.00016747831160838985,0.0006970882415771485,0.00020471510544517376,False,0.2682695795279726,"{'fit_intercept': False, 'C': 0.2682695795279726}",0.8,0.9285714285714286,0.9285714285714286,0.75,0.9166666666666667,0.8647619047619048,0.07510234890994678,6,1.0,1.0,0.9886877828054299,0.995475113122172,0.9978213507625273,0.9963968493380259,0.004201759111367136,Fermented
6,0.0008453369140625,0.00015371440257923977,0.0006587505340576172,0.0001574092111224053,False,0.43939705607607904,"{'fit_intercept': False, 'C': 0.43939705607607904}",0.8,0.8928571428571428,0.9285714285714286,0.7857142857142856,0.9166666666666667,0.8647619047619047,0.05999622059147373,7,1.0,1.0,0.997737556561086,1.0,1.0,0.9995475113122172,0.0009049773755656075,Fermented
7,0.002808380126953125,0.0015594807546659424,0.00064239501953125,0.00011707567085890327,True,8.483428982440717,"{'fit_intercept': True, 'C': 8.483428982440717}",0.7666666666666667,0.8928571428571428,0.9285714285714286,0.8214285714285714,0.875,0.8569047619047618,0.05684645348987406,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
8,0.0017820835113525391,0.0008950841437955017,0.0005808353424072265,9.522921559948097e-05,True,3.1622776601683795,"{'fit_intercept': True, 'C': 3.1622776601683795}",0.7666666666666667,0.8928571428571428,0.9285714285714286,0.8214285714285714,0.875,0.8569047619047618,0.05684645348987406,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
9,0.0029682636260986326,0.0014981712776356265,0.0006791591644287109,0.00014446337115182656,True,5.17947467923121,"{'fit_intercept': True, 'C': 5.17947467923121}",0.7666666666666667,0.8928571428571428,0.9285714285714286,0.8214285714285714,0.875,0.8569047619047618,0.05684645348987406,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
10,0.0039917945861816405,0.000286779888753077,0.0005772590637207031,7.963894338082039e-06,True,37.27593720314938,"{'fit_intercept': True, 'C': 37.27593720314938}",0.7666666666666667,0.8928571428571428,0.8214285714285714,0.8214285714285714,0.9583333333333334,0.8521428571428571,0.06652365613371551,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
11,0.000739288330078125,0.00024198057104322593,0.000683736801147461,0.0001956630495528823,True,0.16378937069540642,"{'fit_intercept': True, 'C': 0.16378937069540642}",0.8,0.9642857142857143,0.8214285714285714,0.75,0.9166666666666667,0.8504761904761905,0.07851224322104744,12,0.9884259259259259,0.995475113122172,0.9773755656108598,0.9886877828054299,0.9803921568627451,0.9860713088654265,0.006460501684829109,Fermented
12,0.005033254623413086,0.0017942963330935928,0.0009455204010009766,0.00011933600366869767,True,13.894954943731374,"{'fit_intercept': True, 'C': 13.894954943731374}",0.7666666666666667,0.8928571428571428,0.8928571428571429,0.8214285714285714,0.875,0.8497619047619047,0.04910999270229994,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
13,0.006422758102416992,0.0018589828719905123,0.001004934310913086,3.427825757806237e-05,True,61.054022965853264,"{'fit_intercept': True, 'C': 61.054022965853264}",0.7333333333333334,0.8928571428571428,0.8214285714285714,0.8214285714285714,0.9583333333333334,0.8454761904761904,0.07578164119928481,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Fermented
