,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,class
68,0.00645914077758789,0.0004101465027064613,0.0009632110595703125,0.00013772614026494326,0.65,1.1787686347935873,"{'l1_ratio': 0.65, 'C': 1.1787686347935873}",0.9444444444444444,0.8333333333333334,1.0,0.7083333333333333,0.75,0.8472222222222221,0.11111111111111112,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
69,0.011596965789794921,0.0013774575863069697,0.0013533592224121093,0.00019546500274111392,0.55,5.17947467923121,"{'l1_ratio': 0.55, 'C': 5.17947467923121}",1.0,0.8333333333333334,0.9166666666666666,0.75,0.6875,0.8375,0.11211353372561425,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
70,0.009347057342529297,0.0011892018222606625,0.0011716365814208984,0.00021202624159075926,0.2,3.1622776601683795,"{'l1_ratio': 0.2, 'C': 3.1622776601683795}",1.0,0.8333333333333334,0.9166666666666666,0.75,0.6875,0.8375,0.11211353372561425,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
71,0.008325862884521484,0.001679870755226415,0.0013660907745361329,0.0005002619823056357,0.9,1.1787686347935873,"{'l1_ratio': 0.9, 'C': 1.1787686347935873}",0.9444444444444444,0.7777777777777778,1.0,0.7083333333333333,0.75,0.836111111111111,0.11466537466972386,22,0.996969696969697,1.0,1.0,1.0,1.0,0.9993939393939394,0.00121212121212122,Cheesy
72,0.009046030044555665,0.0012865553642365834,0.001047372817993164,0.00014619262706807302,0.30000000000000004,3.1622776601683795,"{'l1_ratio': 0.30000000000000004, 'C': 3.1622776601683795}",0.9444444444444444,0.8333333333333334,0.9166666666666666,0.7916666666666666,0.6875,0.8347222222222221,0.09196080754026026,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
73,0.011342716217041016,0.0018783132343105195,0.0011608123779296875,0.00020065256624555883,0.05,5.17947467923121,"{'l1_ratio': 0.05, 'C': 5.17947467923121}",1.0,0.8333333333333334,0.9166666666666666,0.7916666666666666,0.625,0.8333333333333333,0.12638125740085918,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
74,0.007880544662475586,0.001066327883718507,0.0011778831481933593,0.0004642146661518944,0.45,1.9306977288832496,"{'l1_ratio': 0.45, 'C': 1.9306977288832496}",0.9444444444444444,0.8333333333333334,0.9166666666666666,0.7083333333333333,0.75,0.8305555555555555,0.09145598685085739,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
75,0.009336614608764648,0.0014141470180516502,0.001067972183227539,0.0004360488123162969,1.0,1.1787686347935873,"{'l1_ratio': 1.0, 'C': 1.1787686347935873}",0.9444444444444444,0.7777777777777778,1.0,0.6666666666666666,0.75,0.8277777777777778,0.12472191289246473,26,0.996969696969697,1.0,1.0,1.0,1.0,0.9993939393939394,0.00121212121212122,Cheesy
76,0.010719823837280273,0.0007612527501139944,0.0011469364166259766,0.00024962853789635794,0.2,5.17947467923121,"{'l1_ratio': 0.2, 'C': 5.17947467923121}",1.0,0.8333333333333334,0.9166666666666666,0.75,0.625,0.825,0.13017082793177756,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
77,0.009967470169067382,0.0011424825126180108,0.0010329246520996093,0.00012499543722191203,0.6000000000000001,8.483428982440717,"{'l1_ratio': 0.6000000000000001, 'C': 8.483428982440717}",1.0,0.8333333333333334,0.9166666666666666,0.75,0.625,0.825,0.13017082793177756,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
78,0.009966707229614258,0.0005865296810128682,0.0010479927062988282,8.674919547714966e-05,0.9500000000000001,3.1622776601683795,"{'l1_ratio': 0.9500000000000001, 'C': 3.1622776601683795}",1.0,0.7777777777777778,0.9166666666666666,0.7083333333333333,0.6875,0.8180555555555555,0.1212715552941282,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
79,0.010046148300170898,0.0007713147338610182,0.0010127544403076172,0.00017617615955790858,0.1,13.894954943731374,"{'l1_ratio': 0.1, 'C': 13.894954943731374}",1.0,0.7777777777777779,0.9166666666666666,0.7916666666666666,0.5625,0.8097222222222221,0.14839678210214535,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
80,0.012191390991210938,0.002949369594895989,0.001087045669555664,6.488308335679203e-05,0.8500000000000001,8.483428982440717,"{'l1_ratio': 0.8500000000000001, 'C': 8.483428982440717}",1.0,0.8333333333333334,0.875,0.7083333333333333,0.625,0.8083333333333333,0.13070322617798438,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
81,0.010290861129760742,0.001191797095792966,0.0010898590087890625,4.827594153274073e-05,0.9,5.17947467923121,"{'l1_ratio': 0.9, 'C': 5.17947467923121}",0.9444444444444444,0.7777777777777778,0.9166666666666666,0.7083333333333333,0.6875,0.8069444444444445,0.10562862967684192,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
82,0.009782218933105468,0.0005054697130778857,0.001051044464111328,0.00020733363269615204,0.8500000000000001,1.9306977288832496,"{'l1_ratio': 0.8500000000000001, 'C': 1.9306977288832496}",0.9444444444444444,0.7777777777777778,0.9166666666666666,0.7083333333333333,0.6875,0.8069444444444445,0.10562862967684192,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
83,0.01014866828918457,0.0023869692461774487,0.0009734630584716797,0.0002134681783169848,0.55,13.894954943731374,"{'l1_ratio': 0.55, 'C': 13.894954943731374}",1.0,0.8333333333333334,0.875,0.75,0.5625,0.8041666666666668,0.1452966314513558,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
84,0.01122441291809082,0.001504228390637952,0.0011047840118408204,0.00010872633807998704,0.6000000000000001,13.894954943731374,"{'l1_ratio': 0.6000000000000001, 'C': 13.894954943731374}",1.0,0.8333333333333334,0.875,0.75,0.5625,0.8041666666666668,0.1452966314513558,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Cheesy
